,Date,Tested,Confirmed,Recovered,Death,Active,First Dose Vaccinated,Second Dose Vaccinated,Total Vaccinated,Non-Vaccinated,Male Vaccinated,Female Vaccinated,Transgender Vaccinated,Covishield Doses,Covaxin Doses
0,2021-01-01,8740395.0,625369.0,609322.0,10536.0,5511.0,212,0,212,19999788,117,95,0,212,0
1,2021-01-02,8807759.0,625954.0,610039.0,10557.0,5358.0,239,0,239,19999761,109,130,0,239,0
2,2021-01-03,8876518.0,626448.0,610535.0,10571.0,5342.0,256,0,256,19999744,112,144,0,256,0
3,2021-01-04,8926806.0,626872.0,611243.0,10585.0,5044.0,267,0,267,19999733,123,144,0,267,0
4,2021-01-05,9006583.0,627256.0,611970.0,10597.0,4689.0,333,0,333,19999667,169,164,0,333,0
5,2021-01-06,9082133.0,627698.0,612527.0,10609.0,4562.0,379,0,379,19999621,213,166,0,379,0
6,2021-01-07,9158755.0,628352.0,613246.0,10625.0,4481.0,389,0,389,19999611,237,152,0,389,0
7,2021-01-08,9234479.0,628838.0,614026.0,10644.0,4168.0,401,0,401,19999599,256,145,0,401,0
8,2021-01-09,9314754.0,629282.0,614849.0,10654.0,3779.0,534,0,534,19999466,309,225,0,534,0
9,2021-01-10,9392354.0,629801.0,615452.0,10666.0,3683.0,553,0,553,19999447,338,215,0,553,0
10,2021-01-11,9448744.0,630200.0,616054.0,10678.0,3468.0,605,0,605,19999395,389,216,0,598,7
11,2021-01-12,9524657.0,630506.0,616461.0,10691.0,3354.0,676,0,676,19999324,403,273,0,663,13
12,2021-01-13,9595402.0,630892.0,617006.0,10707.0,3179.0,734,0,734,19999266,437,297,0,711,23
13,2021-01-14,9666727.0,631249.0,617540.0,10718.0,2991.0,776,0,776,19999224,448,328,0,749,27
14,2021-01-15,9733648.0,631589.0,617930.0,10722.0,2937.0,800,0,800,19999200,520,280,0,769,31
15,2021-01-16,9805605.0,631884.0,618357.0,10732.0,2795.0,892,0,892,19999108,525,367,0,859,33
