,Date,Tested,Confirmed,Recovered,Death,Active,First Dose Vaccinated,Second Dose Vaccinated,Total Vaccinated,Non-Vaccinated,Male Vaccinated,Female Vaccinated,Transgender Vaccinated,Covishield Doses,Covaxin Doses
0,1/1/2021,14258645,818014,797391,12122,8501,789,0,789,75999211,367,422,0,789,0
1,1/2/2021,14321046,818935,798420,12135,8380,767,0,767,75999233,423,344,0,767,0
2,1/3/2021,14382123,819845,799427,12146,8272,879,0,879,75999121,467,412,0,879,0
3,1/4/2021,14442625,820712,800429,12156,8127,852,0,852,75999148,456,396,0,852,0
4,1/5/2021,14502929,821550,801414,12166,7970,747,0,747,75999253,597,150,0,747,0
5,1/6/2021,14566511,822370,802385,12177,7808,937,0,937,75999063,476,461,0,937,0
6,1/7/2021,14630875,823181,803328,12188,7665,975,0,975,75999025,435,540,0,975,0
7,1/8/2021,14695106,823986,804239,12200,7547,998,0,998,75999002,508,490,0,998,0
8,1/9/2021,14760619,824776,805136,12208,7432,1032,0,1032,75998968,513,519,0,1032,0
9,1/10/2021,14824699,825537,806018,12215,7304,1065,0,1065,75998935,579,486,0,1065,0
10,1/11/2021,14885013,826261,806875,12222,7164,1065,0,1065,75998935,568,497,0,1065,0
11,1/12/2021,14945576,826943,807744,12228,6971,1087,0,1087,75998913,586,501,0,1087,0
12,1/13/2021,15008259,827614,808571,12236,6807,1089,0,1089,75998911,614,475,0,1089,0
13,1/14/2021,15068940,828287,809392,12242,6653,1104,0,1104,75998896,676,428,0,1104,0
14,1/15/2021,15124787,828952,810218,12246,6488,1170,0,1170,75998830,655,515,0,1170,5
15,1/16/2021,15177094,829573,811023,12251,6299,1167,0,1167,75998833,622,545,0,1161,6
16,1/17/2021,15229307,830183,811798,12257,6128,1745,0,1745,75998255,986,759,0,1716,29
17,1/18/2021,15279808,830772,812568,12264,5940,2861,0,2861,75997139,1623,1238,0,2819,42
18,1/19/2021,15331269,831323,813326,12272,5725,6154,0,6154,75993846,3106,3047,1,6043,111
19,1/20/2021,15391518,831866,814098,12281,5487,9060,0,9060,75990940,4415,4644,1,8916,144
20,1/21/2021,15452541,832415,814811,12290,5314,15654,0,15654,75984346,7117,8535,2,15427,227
21,1/22/2021,15514693,833011,815516,12299,5196,23659,0,23659,75976341,10156,13501,2,23304,355
22,1/23/2021,15577766,833585,816205,12307,5073,31127,0,31127,75968873,12969,18156,2,30617,510
23,1/24/2021,15640385,834171,816878,12309,4984,35144,0,35144,75964856,14515,20627,2,34553,591
24,1/25/2021,15696304,834740,817520,12316,4904,41396,0,41396,75958604,16981,24413,2,40656,740
25,1/26/2021,15752119,835280,818147,12320,4813,46310,0,46310,75953690,18840,27468,2,45414,896
26,1/27/2021,15808217,835803,818742,12325,4736,54195,0,54195,75945805,21749,32443,3,53110,1085
27,1/28/2021,15860674,836315,819306,12333,4676,61290,0,61290,75938710,24459,36828,3,60043,1247
28,1/29/2021,15913194,836818,819850,12339,4629,66918,0,66918,75933082,26589,40326,3,65587,1331
29,1/30/2021,15965919,837327,820381,12345,4601,76934,0,76934,75923066,30095,46835,4,75439,1495
30,1/31/2021,16019962,837832,820907,12350,4575,77809,0,77809,75922191,30421,47384,4,76304,1505
31,2/1/2021,16071626,838340,821430,12356,4554,85002,0,85002,75914998,33125,51872,5,83396,1606
32,2/2/2021,16123270,838842,821947,12363,4532,91094,0,91094,75908906,35237,55848,9,89396,1698
33,2/3/2021,16176919,839352,822468,12367,4517,98750,0,98750,75901250,37955,60786,9,96901,1849
34,2/4/2021,16228801,839866,823001,12371,4494,107904,0,107904,75892096,41292,66602,10,105938,1966
35,2/5/2021,16281457,840360,823518,12375,4467,116857,0,116857,75883143,44626,72221,10,114781,2076
36,2/6/2021,16334713,840849,824024,12379,4446,126381,0,126381,75873619,48140,78231,10,124070,2311
37,2/7/2021,16388243,841326,824527,12382,4417,127289,0,127289,75872711,48498,78781,10,124978,2311
38,2/8/2021,16439856,841797,825025,12383,4389,139024,0,139024,75860976,53116,85898,10,136209,2815
39,2/9/2021,16491030,842261,825520,12387,4354,150915,0,150915,75849085,58479,92426,10,148002,2913
40,2/10/2021,16544106,842730,826011,12391,4328,162412,0,162412,75837588,63699,98700,13,159396,3016
41,2/11/2021,16599861,843209,826504,12396,4309,173368,0,173368,75826632,68191,105160,17,170270,3098
42,2/12/2021,16655151,843690,826994,12402,4294,184565,0,184565,75815435,72869,111679,17,181387,3178
43,2/13/2021,16709185,844173,827480,12408,4285,195203,667,195870,75804130,78068,117117,18,191824,3379
44,2/14/2021,16762668,844650,827962,12413,4275,195796,671,196467,75803533,78339,117439,18,192417,3379
45,2/15/2021,16813020,845120,828441,12419,4260,203921,1176,205097,75794903,81876,122027,18,200355,3566
46,2/16/2021,16863820,845575,828918,12425,4232,213823,2141,215964,75784036,86510,127295,18,210150,3673
47,2/17/2021,16916170,846026,829388,12432,4206,224158,3579,227737,75772263,91552,132587,19,220346,3812
48,2/18/2021,16967271,846480,829850,12438,4192,228388,6024,234412,75765588,93924,134445,19,224583,3805
49,2/19/2021,17019551,846937,830320,12444,4173,246203,10185,256388,75743612,101610,144574,19,242005,4198
50,2/20/2021,17070597,847385,830787,12451,4147,255918,13955,269873,75730127,106312,149587,19,251501,4417
51,2/21/2021,17120745,847823,831246,12457,4120,256365,14122,270487,75729513,106459,149887,19,251944,4421
52,2/22/2021,17170947,848275,831706,12460,4109,262213,18634,280847,75719153,109222,152972,19,257634,4579
53,2/23/2021,17222248,848724,832167,12466,4091,268486,23096,291582,75708418,112212,156254,20,263790,4696
54,2/24/2021,17272643,849166,832620,12472,4074,273618,26986,300604,75699396,114927,158671,20,268805,4813
55,2/25/2021,17323383,849629,833089,12478,4062,278432,30463,308895,75691105,117487,160925,20,273457,4975
56,2/26/2021,17376129,850096,833560,12483,4053,284640,35326,319966,75680034,120753,163867,20,279418,5222
57,2/27/2021,17428757,850577,834043,12488,4046,284640,35326,319966,75680034,120753,163867,20,279418,5222
58,2/28/2021,17479572,851063,834534,12493,4036,284640,35326,319966,75680034,120753,163867,20,279418,5222
59,3/1/2021,17529663,851542,835024,12496,4022,284640,35326,319966,75680034,120753,163867,20,279418,5222
60,3/2/2021,17579872,852016,835506,12501,4009,315543,42057,357600,75642400,137641,177871,31,309657,5886
61,3/3/2021,17630655,852478,835979,12502,3997,353429,47077,400506,75599494,157561,195834,34,346684,6745
62,3/4/2021,17681361,852967,836473,12504,3990,404222,51387,455609,75544391,182650,221534,38,396276,7946
63,3/5/2021,17736224,853449,836963,12508,3978,474441,57713,532154,75467846,217754,256643,44,464851,9590
64,3/6/2021,17791275,853992,837525,12513,3954,554443,65172,619615,75380385,258536,295856,51,542706,11737
65,3/7/2021,17846391,854554,838085,12517,3952,579008,67333,646341,75353659,270919,308034,55,566414,12594
66,3/8/2021,17900716,855121,838606,12518,3997,658443,73749,732192,75267808,310214,348156,73,643859,14584
67,3/9/2021,17955850,855677,839138,12521,4018,651487,81977,733464,75266536,345989,387396,79,717029,16381
68,3/10/2021,18020932,856246,839648,12525,4073,729539,90669,820208,75179792,388583,431539,86,801509,18645
69,3/11/2021,18086877,856246,839648,12525,4073,805176,100118,905294,75094706,431332,473866,96,884041,21190
70,3/12/2021,18151986,856917,840180,12530,4207,887006,109541,996547,75003453,475299,521143,105,972671,23812
