,Date,Tested,Confirmed,Recovered,Death,Active,First Dose Vaccinated,Second Dose Vaccinated,Total Vaccinated,Non-Vaccinated,Male Vaccinated,Female Vaccinated,Transgender Vaccinated,Covishield Doses,Covaxin Doses
0,1/1/2021,24087257,585902,563278,8364,14260,1834,0,1834,224998166,598,1236,0,1834,0
1,1/2/2021,24216483,586751,564541,8379,13831,1846,0,1846,224998154,567,1279,0,1846,0
2,1/3/2021,24348477,587434,565731,8387,13316,1869,0,1869,224998131,456,1413,0,1869,0
3,1/4/2021,24468207,588171,566910,8403,12858,1855,0,1855,224998145,789,1066,0,1855,0
4,1/5/2021,24594871,588882,567964,8413,12505,1911,0,1911,224998089,777,1134,0,1911,0
5,1/6/2021,24741829,589611,568892,8433,12286,1977,0,1977,224998023,678,1299,0,1977,0
6,1/7/2021,24887930,590339,569959,8441,11939,1983,0,1983,224998017,987,996,0,1974,9
7,1/8/2021,25034039,590844,570605,8452,11787,1999,0,1999,224998001,878,1121,0,1988,11
8,1/9/2021,25178712,591610,571606,8469,11535,2007,0,2007,224997993,768,1239,0,1995,12
9,1/10/2021,25317134,592475,572773,8481,11221,2059,0,2059,224997941,789,1270,0,2037,22
10,1/11/2021,25440392,593171,573542,8495,11134,2075,0,2075,224997925,1090,985,0,2063,12
11,1/12/2021,25569666,593680,574312,8504,10864,2087,0,2087,224997913,1267,820,0,2064,23
12,1/13/2021,25707811,594175,575101,8514,10560,2139,0,2139,224997861,1145,994,0,2096,43
13,1/14/2021,25841533,594641,575980,8529,10132,2134,0,2134,224997866,1209,925,0,2085,49
14,1/15/2021,25963058,595142,576519,8543,10080,2203,0,2203,224997797,1208,995,0,2147,56
15,1/16/2021,26086641,595614,577475,8558,9581,2212,0,2212,224997788,1341,871,0,2157,55
16,1/17/2021,26214905,596137,578405,8570,9162,2224,0,2224,224997776,1345,879,0,2169,55
17,1/18/2021,26325197,596528,579071,8576,8881,1532,0,1532,224998468,907,625,0,1490,42
18,1/19/2021,26446710,596904,579693,8580,8631,1568,0,1568,224998432,930,638,0,1525,43
19,1/20/2021,26576008,597238,580482,8584,8172,1568,0,1568,224998432,930,638,0,1525,43
20,1/21/2021,26715060,597628,581164,8591,7873,1578,0,1578,224998422,933,645,0,1535,43
21,1/22/2021,26853170,597823,581509,8597,7717,21325,0,21325,224978675,7096,14228,1,20998,327
22,1/23/2021,26975577,598126,581993,8605,7528,30644,0,30644,224969356,10300,20343,1,30198,446
23,1/24/2021,27099309,598445,582506,8609,7330,43669,0,43669,224956331,14952,28714,3,43052,617
24,1/25/2021,27205975,598713,583014,8617,7082,59780,0,59780,224940220,20276,39501,3,58865,915
25,1/26/2021,27320329,598907,583470,8624,6813,62477,0,62477,224937523,20961,41513,3,61537,940
26,1/27/2021,27424012,599208,584039,8632,6537,95724,0,95724,224904276,31827,63892,5,94226,1498
27,1/28/2021,27536763,599376,584372,8636,6368,268081,0,268081,224731919,82036,186025,20,264565,3516
28,1/29/2021,27657436,599624,584752,8642,6230,429946,0,429946,224570054,130950,298960,36,424480,5466
29,1/30/2021,27769217,599837,585273,8646,5918,433040,0,433040,224566960,131777,301226,37,427572,5468
30,1/31/2021,27888620,600079,585747,8650,5682,434185,0,434185,224565815,132125,302023,37,428716,5469
31,2/1/2021,27989752,600299,586116,8658,5525,434549,0,434549,224565451,132288,302224,37,429080,5469
32,2/2/2021,28092122,600470,586505,8662,5303,435502,0,435502,224564498,132574,302891,37,430033,5469
33,2/3/2021,28211459,600642,586967,8668,5007,435645,0,435645,224564355,132643,302965,37,430176,5469
34,2/4/2021,28340622,600837,587398,8674,4765,555622,0,555622,224444378,173304,382272,46,549253,6369
35,2/5/2021,28453058,600970,587661,8680,4629,636917,0,636917,224363083,224300,412566,51,627821,9096
36,2/6/2021,28578777,601128,587984,8682,4462,638107,0,638107,224361893,225075,412980,52,629008,9099
37,2/7/2021,28693975,601272,588148,8686,4438,638805,0,638805,224361195,225664,413089,52,629706,9099
38,2/8/2021,28796828,601385,588818,8687,3880,640144,0,640144,224359856,226737,413355,52,631036,9108
39,2/9/2021,28912704,601455,589322,8691,3442,640845,0,640845,224359155,227388,413405,52,631719,9126
40,2/10/2021,29040824,601562,589565,8691,3306,643010,0,643010,224356990,229177,413780,53,633645,9365
41,2/11/2021,29167417,601723,589771,8696,3256,746208,0,746208,224253792,322369,423786,53,676682,69526
42,2/12/2021,29302186,601898,589882,8696,3320,863157,0,863157,224136843,428140,434964,53,724190,138967
