,Date,Tested,Confirmed,Recovered,Death,Active,First Dose Vaccinated,Second Dose Vaccinated,Total Vaccinated,Non-Vaccinated,Male Vaccinated,Female Vaccinated,Transgender Vaccinated,Covishield Doses,Covaxin Doses
0,1/1/2021,6924707.0,286815.0,279456.0,1544.0,5815.0,201,0,201,36999799,99,102,0,201,0
1,1/2/2021,6951297.0,287108.0,279991.0,1546.0,5571.0,213,0,213,36999787,104,109,0,213,0
2,1/3/2021,6991487.0,287502.0,280565.0,1549.0,5388.0,217,0,217,36999783,98,119,0,217,0
3,1/4/2021,7018564.0,287740.0,281083.0,1551.0,5106.0,209,0,209,36999791,102,107,0,209,0
4,1/5/2021,7061049.0,287993.0,281400.0,1554.0,5039.0,232,0,232,36999768,117,115,0,232,0
5,1/6/2021,7104367.0,288410.0,281872.0,1556.0,4982.0,234,0,234,36999766,113,121,0,234,0
6,1/7/2021,7145613.0,288789.0,282177.0,1559.0,5053.0,213,0,213,36999787,109,104,0,213,0
7,1/8/2021,7184598.0,289135.0,282574.0,1561.0,5000.0,249,0,249,36999751,109,140,0,249,0
8,1/9/2021,7215785.0,289433.0,283048.0,1563.0,4822.0,247,0,247,36999753,112,135,0,247,0
9,1/10/2021,7253236.0,289784.0,283463.0,1565.0,4756.0,256,0,256,36999744,176,80,0,256,0
10,1/11/2021,7278021.0,290008.0,283924.0,1566.0,4518.0,279,0,279,36999721,123,156,0,279,0
11,1/12/2021,7312452.0,290309.0,284217.0,1568.0,4524.0,273,0,273,36999727,145,128,0,273,0
12,1/13/2021,7350644.0,290640.0,284611.0,1571.0,4458.0,298,0,298,36999702,132,166,0,298,0
13,1/14/2021,7379538.0,290916.0,284849.0,1572.0,4495.0,312,0,312,36999688,156,156,0,312,0
14,1/15/2021,7399436.0,291118.0,285102.0,1574.0,4442.0,333,0,333,36999667,170,163,0,333,0
15,1/16/2021,7428389.0,291367.0,285519.0,1575.0,4273.0,317,0,317,36999683,171,146,0,317,0
16,1/17/2021,7461687.0,291666.0,285898.0,1577.0,4191.0,437,0,437,36999563,215,222,0,437,0
17,1/18/2021,7483580.0,291872.0,286244.0,1579.0,4049.0,2463,0,2463,36997537,1133,1329,1,2463,0
18,1/19/2021,7515066.0,292128.0,286542.0,1581.0,4005.0,11169,0,11169,36988831,4640,6528,1,11169,0
19,1/20/2021,7542537.0,292395.0,286893.0,1583.0,3919.0,11291,0,11291,36988709,4650,6640,1,11291,0
20,1/21/2021,7574184.0,292621.0,287117.0,1584.0,3920.0,17837,0,17837,36982163,5704,12132,1,17837,0
21,1/22/2021,7602975.0,292835.0,287468.0,1586.0,3781.0,24830,0,24830,36975170,7158,17671,1,24830,0
22,1/23/2021,7632980.0,293056.0,287899.0,1588.0,3569.0,26183,0,26183,36973817,7835,18347,1,26183,0
23,1/24/2021,7662540.0,293253.0,288275.0,1589.0,3389.0,27829,0,27829,36972171,8282,19546,1,27829,0
24,1/25/2021,7682361.0,293401.0,288577.0,1590.0,3234.0,50646,0,50646,36949354,19905,30738,3,50646,0
25,1/26/2021,7711810.0,293590.0,288926.0,1592.0,3072.0,51194,0,51194,36948806,20071,31120,3,51194,0
26,1/27/2021,7728296.0,293737.0,289325.0,1593.0,2819.0,58306,0,58306,36941694,21510,36793,3,58306,0
27,1/28/2021,7759415.0,293923.0,289631.0,1594.0,2698.0,78713,0,78713,36921287,32727,45978,8,78713,0
28,1/29/2021,7790901.0,294120.0,289987.0,1596.0,2537.0,92418,0,92418,36907582,39999,52409,10,92418,0
29,1/30/2021,7823989.0,294306.0,290354.0,1598.0,2354.0,95000,0,95000,36905000,41360,53630,10,95000,0
30,1/31/2021,7861361.0,294469.0,290630.0,1599.0,2240.0,95057,0,95057,36904943,41379,53668,10,95057,0
31,2/1/2021,7879047.0,294587.0,290894.0,1601.0,2092.0,95234,0,95234,36904766,41476,53748,10,95234,0
32,2/2/2021,7915105.0,294739.0,291115.0,1602.0,2022.0,96413,0,96413,36903587,42133,54270,10,96412,1
33,2/3/2021,7955308.0,294924.0,291312.0,1604.0,2008.0,103183,0,103183,36896817,45517,57656,10,103182,1
